"115","g__Bacteroides","S2M_both","Sub.3"
"116","g__Blautia","S2M_both","Sub.3"
"117","g__Clostridium","S2M_both","Sub.3"
"118","g__Collinsella","S2M_both","Sub.3"
"119","g__Coprococcus","S2M_both","Sub.3"
"120","g__Dorea","S2M_both","Sub.3"
"121","g__Eubacterium","S2M_both","Sub.3"
"122","g__Faecalibacterium","S2M_both","Sub.3"
"123","g__Lactobacillus","S2M_both","Sub.3"
"124","g__Oscillospira","S2M_both","Sub.3"
"125","g__Parabacteroides","S2M_both","Sub.3"
"126","g__Peptococcus","S2M_both","Sub.3"
"127","g__Prevotella","S2M_both","Sub.3"
"128","g__Pseudoramibacter_Eubacterium","S2M_both","Sub.3"
"129","g__Roseburia","S2M_both","Sub.3"
"130","g__Ruminococcus","S2M_both","Sub.3"
"131","g__Streptococcus","S2M_both","Sub.3"
"132","g__Sutterella","S2M_both","Sub.3"
"133","g__unclassified","S2M_both","Sub.3"
"134","g__Dialister","S2M_S2only","Sub.3"
"135","g__Mogibacterium","S2M_S2only","Sub.3"
"136","g__SMB53","S2M_S2only","Sub.3"
"137","g__Butyricicoccus","S2M_Monly","Sub.3"
"138","g__Butyricimonas","S2M_Monly","Sub.3"
"139","g__Adlercreutzia","S12_both","Sub.4"
"140","g__Akkermansia","S12_both","Sub.4"
"141","g__Alistipes","S12_both","Sub.4"
"142","g__Bacteroides","S12_both","Sub.4"
"143","g__Blautia","S12_both","Sub.4"
"144","g__Cloacibacillus","S12_both","Sub.4"
"145","g__Clostridium","S12_both","Sub.4"
"146","g__Coprobacillus","S12_both","Sub.4"
"147","g__Coprococcus","S12_both","Sub.4"
"148","g__Dorea","S12_both","Sub.4"
"149","g__Eggerthella","S12_both","Sub.4"
"150","g__Epulopiscium","S12_both","Sub.4"
"151","g__Eubacterium","S12_both","Sub.4"
"152","g__Holdemania","S12_both","Sub.4"
"153","g__Lachnobacterium","S12_both","Sub.4"
"154","g__Lachnospira","S12_both","Sub.4"
"155","g__Odoribacter","S12_both","Sub.4"
"156","g__Oscillospira","S12_both","Sub.4"
"157","g__Parabacteroides","S12_both","Sub.4"
"158","g__Peptococcus","S12_both","Sub.4"
"159","g__Porphyromonas","S12_both","Sub.4"
"160","g__Pseudoramibacter_Eubacterium","S12_both","Sub.4"
"161","g__Ruminococcus","S12_both","Sub.4"
"162","g__Streptococcus","S12_both","Sub.4"
"163","g__unclassified","S12_both","Sub.4"
"164","g__Actinomyces","S12_S1only","Sub.4"
"165","g__Adlercreutzia","S2M_both","Sub.4"
"166","g__Akkermansia","S2M_both","Sub.4"
"167","g__Alistipes","S2M_both","Sub.4"
"168","g__Bacteroides","S2M_both","Sub.4"
"169","g__Blautia","S2M_both","Sub.4"
"170","g__Butyricicoccus","S2M_both","Sub.4"
"171","g__Cloacibacillus","S2M_both","Sub.4"
"172","g__Clostridium","S2M_both","Sub.4"
"173","g__Coprobacillus","S2M_both","Sub.4"
"174","g__Coprococcus","S2M_both","Sub.4"
"175","g__Dorea","S2M_both","Sub.4"
"176","g__Eggerthella","S2M_both","Sub.4"
"177","g__Eubacterium","S2M_both","Sub.4"
"178","g__Holdemania","S2M_both","Sub.4"
"179","g__Lachnobacterium","S2M_both","Sub.4"
"180","g__Lachnospira","S2M_both","Sub.4"
"181","g__Odoribacter","S2M_both","Sub.4"
"182","g__Oscillospira","S2M_both","Sub.4"
"183","g__Parabacteroides","S2M_both","Sub.4"
"184","g__Peptococcus","S2M_both","Sub.4"
"185","g__Pseudoramibacter_Eubacterium","S2M_both","Sub.4"
"186","g__Ruminococcus","S2M_both","Sub.4"
"187","g__Streptococcus","S2M_both","Sub.4"
"188","g__unclassified","S2M_both","Sub.4"
"189","g__Epulopiscium","S2M_S2only","Sub.4"
"190","g__Porphyromonas","S2M_S2only","Sub.4"
"191","g__Akkermansia","S12_both","Sub.5"
"192","g__Alistipes","S12_both","Sub.5"
"193","g__Anaerostipes","S12_both","Sub.5"
"194","g__Bacteroides","S12_both","Sub.5"
"195","g__Bifidobacterium","S12_both","Sub.5"
"196","g__Blautia","S12_both","Sub.5"
"197","g__Butyricicoccus","S12_both","Sub.5"
"198","g__cc_115","S12_both","Sub.5"
"199","g__Cloacibacillus","S12_both","Sub.5"
"200","g__Clostridium","S12_both","Sub.5"
"201","g__Collinsella","S12_both","Sub.5"
"202","g__Coprobacillus","S12_both","Sub.5"
"203","g__Coprococcus","S12_both","Sub.5"
"204","g__Desulfovibrio","S12_both","Sub.5"
"205","g__Dialister","S12_both","Sub.5"
"206","g__Dorea","S12_both","Sub.5"
"207","g__Eggerthella","S12_both","Sub.5"
"208","g__Eubacterium","S12_both","Sub.5"
"209","g__Faecalibacterium","S12_both","Sub.5"
"210","g__Lachnospira","S12_both","Sub.5"
"211","g__Oscillospira","S12_both","Sub.5"
"212","g__Parabacteroides","S12_both","Sub.5"
"213","g__Paraprevotella","S12_both","Sub.5"
"214","g__Peptococcus","S12_both","Sub.5"
"215","g__Porphyromonas","S12_both","Sub.5"
"216","g__Roseburia","S12_both","Sub.5"
"217","g__Ruminococcus","S12_both","Sub.5"
"218","g__SMB53","S12_both","Sub.5"
"219","g__Streptococcus","S12_both","Sub.5"
"220","g__Succiniclasticum","S12_both","Sub.5"
"221","g__Turicibacter","S12_both","Sub.5"
"222","g__unclassified","S12_both","Sub.5"
"223","g__Parvimonas","S12_S1only","Sub.5"
"224","g__Akkermansia","S2M_both","Sub.5"
"225","g__Alistipes","S2M_both","Sub.5"
"226","g__Anaerostipes","S2M_both","Sub.5"
"227","g__Bacteroides","S2M_both","Sub.5"
"228","g__Bifidobacterium","S2M_both","Sub.5"
"229","g__Blautia","S2M_both","Sub.5"
"230","g__Butyricicoccus","S2M_both","Sub.5"
"231","g__Clostridium","S2M_both","Sub.5"
"232","g__Collinsella","S2M_both","Sub.5"
"233","g__Coprobacillus","S2M_both","Sub.5"
"234","g__Coprococcus","S2M_both","Sub.5"
"235","g__Desulfovibrio","S2M_both","Sub.5"
"236","g__Dorea","S2M_both","Sub.5"
"237","g__Eggerthella","S2M_both","Sub.5"
"238","g__Eubacterium","S2M_both","Sub.5"
"239","g__Faecalibacterium","S2M_both","Sub.5"
"240","g__Lachnospira","S2M_both","Sub.5"
"241","g__Odoribacter","S2M_both","Sub.5"
"242","g__Oscillospira","S2M_both","Sub.5"
"243","g__Parabacteroides","S2M_both","Sub.5"
"244","g__Paraprevotella","S2M_both","Sub.5"
"245","g__Peptococcus","S2M_both","Sub.5"
"246","g__Roseburia","S2M_both","Sub.5"
"247","g__Ruminococcus","S2M_both","Sub.5"
"248","g__Succiniclasticum","S2M_both","Sub.5"
"249","g__Sutterella","S2M_both","Sub.5"
"250","g__Turicibacter","S2M_both","Sub.5"
"251","g__unclassified","S2M_both","Sub.5"
"252","g__cc_115","S2M_S2only","Sub.5"
"253","g__Dialister","S2M_S2only","Sub.5"
"254","g__SMB53","S2M_S2only","Sub.5"
"255","g__Streptococcus","S2M_S2only","Sub.5"
"256","g__Bilophila","S2M_Monly","Sub.5"
"257","g__Akkermansia","S12_both","Sub.6"
"258","g__Alistipes","S12_both","Sub.6"
"259","g__Bacteroides","S12_both","Sub.6"
"260","g__Blautia","S12_both","Sub.6"
"261","g__Butyricicoccus","S12_both","Sub.6"
"262","g__Butyricimonas","S12_both","Sub.6"
"263","g__Clostridium","S12_both","Sub.6"
"264","g__Coprobacillus","S12_both","Sub.6"
"265","g__Coprococcus","S12_both","Sub.6"
"266","g__Dialister","S12_both","Sub.6"
"267","g__Dorea","S12_both","Sub.6"
"268","g__Eggerthella","S12_both","Sub.6"
"269","g__Eubacterium","S12_both","Sub.6"
"270","g__Lactococcus","S12_both","Sub.6"
"271","g__Oscillospira","S12_both","Sub.6"
"272","g__Parabacteroides","S12_both","Sub.6"
"273","g__rc4-4","S12_both","Sub.6"
"274","g__Roseburia","S12_both","Sub.6"
"275","g__Ruminococcus","S12_both","Sub.6"
"276","g__Streptococcus","S12_both","Sub.6"
"277","g__unclassified","S12_both","Sub.6"
"278","g__Akkermansia","S2M_both","Sub.6"
"279","g__Alistipes","S2M_both","Sub.6"
"280","g__Bacteroides","S2M_both","Sub.6"
"281","g__Blautia","S2M_both","Sub.6"
"282","g__Butyricicoccus","S2M_both","Sub.6"
"283","g__Butyricimonas","S2M_both","Sub.6"
"284","g__Clostridium","S2M_both","Sub.6"
"285","g__Coprobacillus","S2M_both","Sub.6"
"286","g__Coprococcus","S2M_both","Sub.6"
"287","g__Dialister","S2M_both","Sub.6"
"288","g__Dorea","S2M_both","Sub.6"
"289","g__Eggerthella","S2M_both","Sub.6"
"290","g__Eubacterium","S2M_both","Sub.6"
"291","g__Holdemania","S2M_both","Sub.6"
"292","g__Lactococcus","S2M_both","Sub.6"
"293","g__Oscillospira","S2M_both","Sub.6"
"294","g__Parabacteroides","S2M_both","Sub.6"
"295","g__rc4-4","S2M_both","Sub.6"
"296","g__Ruminococcus","S2M_both","Sub.6"
"297","g__unclassified","S2M_both","Sub.6"
"298","g__Roseburia","S2M_S2only","Sub.6"
"299","g__Streptococcus","S2M_S2only","Sub.6"
"300","g__Akkermansia","S12_both","Sub.7"
"301","g__Alistipes","S12_both","Sub.7"
"302","g__Bacteroides","S12_both","Sub.7"
"303","g__Bifidobacterium","S12_both","Sub.7"
"304","g__Blautia","S12_both","Sub.7"
"305","g__Clostridium","S12_both","Sub.7"
"306","g__Collinsella","S12_both","Sub.7"
"307","g__Coprococcus","S12_both","Sub.7"
"308","g__Dialister","S12_both","Sub.7"
"309","g__Dorea","S12_both","Sub.7"
"310","g__Faecalibacterium","S12_both","Sub.7"
"311","g__Lachnospira","S12_both","Sub.7"
"312","g__Leuconostoc","S12_both","Sub.7"
"313","g__Oscillospira","S12_both","Sub.7"
"314","g__Parabacteroides","S12_both","Sub.7"
"315","g__Phascolarctobacterium","S12_both","Sub.7"
"316","g__Roseburia","S12_both","Sub.7"
"317","g__Ruminococcus","S12_both","Sub.7"
"318","g__Streptococcus","S12_both","Sub.7"
"319","g__Subdoligranulum","S12_both","Sub.7"
"320","g__Sutterella","S12_both","Sub.7"
"321","g__unclassified","S12_both","Sub.7"
"322","g__Akkermansia","S2M_both","Sub.7"
"323","g__Alistipes","S2M_both","Sub.7"
"324","g__Bacteroides","S2M_both","Sub.7"
"325","g__Bifidobacterium","S2M_both","Sub.7"
"326","g__Bilophila","S2M_both","Sub.7"
"327","g__Blautia","S2M_both","Sub.7"
"328","g__Clostridium","S2M_both","Sub.7"
"329","g__Collinsella","S2M_both","Sub.7"
"330","g__Coprobacillus","S2M_both","Sub.7"
"331","g__Coprococcus","S2M_both","Sub.7"
"332","g__Dorea","S2M_both","Sub.7"
"333","g__Eubacterium","S2M_both","Sub.7"
"334","g__Faecalibacterium","S2M_both","Sub.7"
"335","g__Odoribacter","S2M_both","Sub.7"
"336","g__Oscillospira","S2M_both","Sub.7"
"337","g__Parabacteroides","S2M_both","Sub.7"
"338","g__Phascolarctobacterium","S2M_both","Sub.7"
"339","g__Roseburia","S2M_both","Sub.7"
"340","g__Ruminococcus","S2M_both","Sub.7"
"341","g__Sutterella","S2M_both","Sub.7"
"342","g__unclassified","S2M_both","Sub.7"
"343","g__Dialister","S2M_S2only","Sub.7"
"344","g__Lachnospira","S2M_S2only","Sub.7"
"345","g__Leuconostoc","S2M_S2only","Sub.7"
"346","g__Streptococcus","S2M_S2only","Sub.7"
"347","g__Subdoligranulum","S2M_S2only","Sub.7"
"348","g__02d06","S12_both","Sub.8"
"349","g__Adlercreutzia","S12_both","Sub.8"
"350","g__Akkermansia","S12_both","Sub.8"
"351","g__Alistipes","S12_both","Sub.8"
"352","g__Anaerostipes","S12_both","Sub.8"
"353","g__Bacteroides","S12_both","Sub.8"
"354","g__Blautia","S12_both","Sub.8"
"355","g__Butyrivibrio","S12_both","Sub.8"
"356","g__cc_115","S12_both","Sub.8"
"357","g__Clostridium","S12_both","Sub.8"
"358","g__Coprobacillus","S12_both","Sub.8"
"359","g__Coprococcus","S12_both","Sub.8"
"360","g__Dorea","S12_both","Sub.8"
"361","g__Epulopiscium","S12_both","Sub.8"
"362","g__Eubacterium","S12_both","Sub.8"
"363","g__Faecalibacterium","S12_both","Sub.8"
"364","g__Lachnospira","S12_both","Sub.8"
"365","g__Oscillospira","S12_both","Sub.8"
"366","g__Parabacteroides","S12_both","Sub.8"
"367","g__Prevotella","S12_both","Sub.8"
"368","g__Pseudoramibacter_Eubacterium","S12_both","Sub.8"
"369","g__rc4-4","S12_both","Sub.8"
"370","g__Roseburia","S12_both","Sub.8"
"371","g__Ruminococcus","S12_both","Sub.8"
"372","g__Streptococcus","S12_both","Sub.8"
"373","g__Subdoligranulum","S12_both","Sub.8"
"374","g__Succiniclasticum","S12_both","Sub.8"
"375","g__Turicibacter","S12_both","Sub.8"
"376","g__unclassified","S12_both","Sub.8"
"377","g__Sutterella","S12_S2only","Sub.8"
"378","g__Adlercreutzia","S2M_both","Sub.8"
"379","g__Akkermansia","S2M_both","Sub.8"
"380","g__Alistipes","S2M_both","Sub.8"
"381","g__Anaerostipes","S2M_both","Sub.8"
"382","g__Bacteroides","S2M_both","Sub.8"
"383","g__Blautia","S2M_both","Sub.8"
"384","g__Butyrivibrio","S2M_both","Sub.8"
"385","g__Clostridium","S2M_both","Sub.8"
"386","g__Coprobacillus","S2M_both","Sub.8"
"387","g__Coprococcus","S2M_both","Sub.8"
"388","g__Dorea","S2M_both","Sub.8"
"389","g__Eubacterium","S2M_both","Sub.8"
"390","g__Faecalibacterium","S2M_both","Sub.8"
"391","g__Odoribacter","S2M_both","Sub.8"
"392","g__Oscillospira","S2M_both","Sub.8"
"393","g__Parabacteroides","S2M_both","Sub.8"
"394","g__Prevotella","S2M_both","Sub.8"
"395","g__Pseudoramibacter_Eubacterium","S2M_both","Sub.8"
