	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	211	1250	0	0	0	0	0	0	0	0	0	0
g__cc_115	0	0	0	33	96	0	0	0	0	0	0	0	0	4	0	0	0	0	13	37	0	0	0	2	7	0	0	0	15	94	0	0	0	0	0	0	0	0	3	13
g__Christensenella	2	4	3	4	1	0	0	0	0	0	0	1	0	3	0	9	7	8	0	3	0	0	0	0	0	3	1	7	12	20	6	7	4	2	15	2	0	3	2	3
g__Cloacibacillus	0	0	0	9	197	3	5	1	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	6	155	350
g__Clostridium	3280	2389	4367	606	1121	730	908	744	549	1486	1436	2588	5988	1849	1407	436	1100	679	392	2765	10756	32361	19708	5382	19877	10586	5670	11950	6689	38554	7773	2817	3285	1312	6140	228	719	864	111	437
g__Collinsella	49	72	76	1123	2716	0	0	0	0	1	0	0	2	566	476	0	0	0	0	4	0	0	1	0	1	185	38	98	2383	8427	129	79	54	69	460	0	1	0	1	3
g__Coprobacillus	40	33	33	15	23	50	54	36	33	73	36	31	57	6	3	18	2	0	8	29	261	150	82	987	1147	133	86	143	4	34	4	4	2	3	8	50	149	481	83	344
g__Coprococcus	140	166	229	457	1183	201	136	160	495	1125	264	317	484	1176	1146	1665	337	302	311	2263	422	861	319	2059	3954	4345	1757	2992	1951	11850	898	336	341	1061	3882	68	209	371	189	769
g__Corynebacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0
g__Dehalobacterium	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	18	15	0	0	0	4	11	0	0	0	0	1
g__Desulfovibrio	29	103	42	16	30	0	0	0	0	1	0	0	0	0	1	0	4	2	0	1	0	0	0	0	0	1	0	0	0	19	0	0	0	1	14	0	0	0	0	0
